Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
28/05/2016 00:00,470.58,529.08,468,519.41,12568.03,6208198.25,493.97
29/05/2016 00:00,522.13,540,485,517.84,8215.67,4268564.36,519.56
30/05/2016 00:00,517.6,535,510.01,527.64,6074.77,3195665.51,526.05
31/05/2016 00:00,527.64,548.5,515,531.84,12071.18,6465589.82,535.62
01/06/2016 00:00,532.37,542.87,525.49,536.95,5456.94,2918877.94,534.89
02/06/2016 00:00,536.95,540,529.13,538,3939.35,2110034.27,535.63
03/06/2016 00:00,538,578.37,535.74,569.94,8801.77,4918798.57,558.84
04/06/2016 00:00,569.93,588.71,558.54,573.8,6216.63,3569801.44,574.23
05/06/2016 00:00,573.5,582,566,573.91,5415.93,3104174.12,573.16
06/06/2016 00:00,573.8,586.02,573.8,584.5,4465.52,2599632.51,582.16
07/06/2016 00:00,584.12,594.44,563,577.54,6705.92,3889183.61,579.96
08/06/2016 00:00,577.48,584.25,571.86,583.03,3259.15,1885760.65,578.6
09/06/2016 00:00,583.01,583.1,572.97,575.01,3770.72,2173852.25,576.51
10/06/2016 00:00,576.06,580,572,578.01,3458.56,1992463.06,576.1
11/06/2016 00:00,576.53,611,575.93,610,4000.07,2358616.31,589.64
12/06/2016 00:00,610,683.02,603.21,672.13,14138.31,9092256.25,643.09
13/06/2016 00:00,668.73,725,655.02,704.49,17280.6,11948752.18,691.45
14/06/2016 00:00,703.81,704.5,655,685.25,10633.44,7245671,681.4
15/06/2016 00:00,685.25,695.77,672.12,695,5783.92,3958020.17,684.31
16/06/2016 00:00,695,773.07,689.8,766.62,17946.83,13252865.15,738.45
17/06/2016 00:00,767.37,778.7,706.37,745.22,14687.27,10852879.64,738.93
18/06/2016 00:00,745,778.85,723.02,754.83,5903.47,4450980.86,753.96
19/06/2016 00:00,753.47,764.93,740.11,761.44,2617.28,1975322.23,754.72
20/06/2016 00:00,759.12,763.99,723.4,730.85,7975.97,5917339.46,741.9
21/06/2016 00:00,725,728.18,625,667.54,33056.29,22257644.3,673.33
22/06/2016 00:00,665.36,677.63,588.03,601.3,16456.41,10462967.07,635.8
23/06/2016 00:00,600.51,632.67,1.5,624.91,24334.08,14297065.04,587.53
24/06/2016 00:00,622.59,683.88,620.82,661.71,16163.8,10563018.79,653.5
25/06/2016 00:00,660.76,684.45,639.4,659.86,6576.67,4375554.65,665.31
26/06/2016 00:00,658.8,662.9,608.64,630.16,5838.15,3672917.74,629.12
27/06/2016 00:00,630.16,658,618.03,657.5,8668.59,5537101.67,638.75
28/06/2016 00:00,657.49,665.51,635.5,646.08,5478.36,3544743.28,647.04
29/06/2016 00:00,644.33,645,621.09,634.11,9132.48,5770127.8,631.82
30/06/2016 00:00,635.91,671.22,628.06,667.95,7479.79,4895853.65,654.54
